GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jacoco-multi Coverage Project/jacoco-multi,com.ps.e2e.jacoco.testcoverageexample,ExampleController,3,27,1,3,1,9,1,5,0,4
jacoco-multi Coverage Project/jacoco-multi,com.ps.e2e.jacoco.testcoverageexample,TestCoverageExampleApplication,0,8,0,0,0,3,0,2,0,2
